SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
SRR6834172	4	4	4	0.683656449268514	0.433026240877801	1.76375005705418
SRR6834173	6	6	6	0.913327191696993	0.433207390921795	1.76431376130034
SRR6834174	6	6	6	0.729437448583307	0.364318617048807	1.57311512782934
SRR6834175	7	7	7	1.53556154281448	0.735391542880803	3.77916870415648
SRR6834176	4	4	4	0.31449244682277	0.141529941514414	1.16486299098665
SRR6834177	6	6	NA	1.25934983559894	0.635163811396926	2.74095616399489
SRR6834178	7	7	8.08641975308642	1.43559956386143	0.702292841985404	3.35900556328234
SRR6834179	8	8	8	1.79035912053065	0.804150923865224	5.10597251585624
SRR6834180	7	7	7	1.41933154833051	0.681874644169556	3.14341495159847
SRR6834181	6	6	NA	1.2689281778606	0.649629936338699	2.85412512002364
SRR6834182	6	6	7.10204081632653	1.3150765694995	0.678174007556545	3.1072692183982
SRR6834183	7	7	8.10204081632653	1.50098328458871	0.728921898452461	3.68897374701671
SRR6834184	3	3	NA	0.365553341759072	0.198928626882666	1.24832821838152
SRR6834185	4	4	4	0.737106919486755	0.398400703897314	1.66223598743924
SRR6834186	6	6	6.7037037037037	1.09183370679001	0.609129962217277	2.55839512711864
SRR6834187	5	5	5	1.03921103097837	0.591661922260753	2.44895113758793
SRR6834188	7	7	7	1.41473723157942	0.678562186222245	3.11102165687143
SRR6834189	4	4	NA	1.35587178617693	0.734019978261995	3.75968087176493
