richness	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
1	2.00	1.000	2.00	3.00	1.000	2.00	2.00	2.00	3.00	2.00	2.00	2.00	1.000	2.00	2.00	2.00	2.00	4.00
2	2.00	2.00	2.00	5.00	1.000	3.00	3.00	5.00	3.00	3.00	3.00	3.00	1.000	2.00	2.00	3.00	4.00	4.00
3	2.00	3.00	2.00	5.00	2.00	3.00	4.00	6.00	3.00	3.00	4.00	4.00	2.00	2.00	3.00	3.00	4.00	4.00
4	2.00	4.00	3.00	5.00	2.00	4.00	5.00	7.00	4.00	4.00	4.00	5.00	2.00	2.00	3.00	3.00	4.00	4.00
5	2.00	4.00	2.00	6.00	2.00	5.00	4.00	6.00	5.00	5.00	4.00	5.00	2.00	3.00	3.00	3.00	6.00	4.00
6	2.00	4.00	3.00	6.00	2.00	5.00	5.00	7.00	4.00	4.00	5.00	5.00	2.00	3.00	3.00	3.00	6.00	4.00
7	2.00	4.00	3.00	6.00	2.00	5.00	6.00	7.00	6.00	5.00	5.00	6.00	2.00	3.00	3.00	3.00	6.00	4.00
8	2.00	4.00	3.00	6.00	2.00	5.00	5.00	7.00	6.00	5.00	5.00	6.00	2.00	3.00	3.00	3.00	6.00	4.00
9	2.00	4.00	3.00	6.00	2.00	5.00	6.00	7.00	7.00	5.00	5.00	6.00	2.00	4.00	3.00	3.00	6.00	4.00
10	2.00	4.00	3.00	6.00	2.00	5.00	6.00	7.00	6.00	5.00	5.00	6.00	2.00	4.00	4.00	3.00	6.00	4.00
11	2.00	4.00	3.00	6.00	2.00	5.00	6.00	7.00	7.00	5.00	5.00	6.00	2.00	4.00	5.00	3.00	6.00	4.00
12	2.00	6.00	3.00	6.00	2.00	5.00	6.00	7.00	6.00	5.00	5.00	6.00	2.00	3.00	4.00	4.00	6.00	4.00
13	2.00	5.00	4.00	6.00	2.00	5.00	6.00	7.00	7.00	5.00	5.00	6.00	2.00	3.00	4.00	4.00	6.00	4.00
14	3.00	4.00	5.00	6.00	2.00	5.00	6.00	7.00	7.00	5.00	5.00	6.00	2.00	3.00	4.00	4.00	6.00	4.00
15	2.00	6.00	4.00	6.00	2.00	5.00	6.00	7.00	7.00	5.00	5.00	6.00	2.00	4.00	4.00	4.00	6.00	4.00
16	2.00	6.00	4.00	6.00	2.00	5.00	6.00	8.00	7.00	5.00	5.00	6.00	2.00	4.00	5.00	4.00	6.00	4.00
17	2.00	5.00	5.00	6.00	2.00	5.00	6.00	8.00	7.00	5.00	5.00	6.00	2.00	3.00	4.00	4.00	6.00	4.00
18	2.00	5.00	4.00	6.00	2.00	5.00	6.00	8.00	7.00	5.00	5.00	6.00	2.00	4.00	5.00	4.00	6.00	4.00
19	2.00	6.00	5.00	6.00	4.00	5.00	6.00	8.00	7.00	5.00	5.00	6.00	2.00	4.00	5.00	4.00	6.00	4.00
20	4.00	6.00	5.00	7.00	2.00	5.00	6.00	8.00	7.00	5.00	5.00	6.00	2.00	4.00	4.00	4.00	6.00	4.00
