#OTUID	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
OTU_124	0	13	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0
OTU_189	0	4	0	0	2	0	9	34	10	0	25	35	0	0	0	0	0	0
OTU_262	0	0	0	0	0	0	0	74	135	0	0	0	0	0	0	2	0	0
OTU_267	0	0	0	0	0	13	0	79	0	0	130	0	0	0	0	0	0	0
OTU_3	193	36	217	26	2	150	126	24	7	11	39	113	30	14	25	102	10	98
OTU_332	0	0	0	114	0	0	0	0	0	0	0	29	0	0	0	0	0	0
OTU_40	0	17	0	0	0	1	11	3	36	0	0	0	247	209	0	0	0	0
OTU_412	2	0	0	8	0	0	0	0	0	1	0	0	0	0	3	0	22	0
OTU_421	0	0	3	2	0	0	0	34	16	15	7	1	0	0	0	26	0	0
OTU_504	0	0	0	0	0	0	0	9	6	0	1	0	0	4	0	0	0	0
OTU_506	0	0	0	0	0	0	0	21	0	0	0	0	0	51	0	0	0	0
OTU_552	0	0	0	0	0	66	46	0	0	0	0	0	0	0	124	0	0	54
OTU_576	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0
OTU_58	0	205	9	0	0	21	18	0	68	0	76	0	1	0	119	143	2	70
OTU_582	0	0	44	0	0	0	0	0	0	0	0	17	0	0	0	0	29	0
OTU_600	0	3	2	0	0	27	1	0	0	0	0	0	0	0	6	5	0	56
OTU_62	2	0	0	21	0	0	0	0	0	69	0	0	0	0	0	0	65	0
OTU_620	81	0	3	70	17	0	0	0	0	0	0	7	0	0	0	0	138	0
OTU_90	0	0	0	37	257	0	0	0	0	143	0	76	0	0	1	0	12	0
