bray_curtis	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
SRR6834172	0	0.871	0.295	0.640	0.932	0.460	0.547	0.914	0.975	0.950	0.860	0.568	0.892	0.950	0.903	0.633	0.658	0.647
SRR6834173	0.871	0	0.831	0.906	0.986	0.781	0.701	0.888	0.655	0.960	0.583	0.856	0.827	0.888	0.471	0.345	0.957	0.608
SRR6834174	0.295	0.831	0	0.888	0.982	0.421	0.511	0.903	0.932	0.950	0.817	0.518	0.888	0.950	0.871	0.583	0.842	0.608
SRR6834175	0.640	0.906	0.888	0	0.799	0.906	0.906	0.906	0.968	0.741	0.899	0.640	0.906	0.950	0.896	0.899	0.565	0.906
SRR6834176	0.932	0.986	0.982	0.799	0	0.993	0.986	0.986	0.986	0.478	0.986	0.687	0.993	0.993	0.989	0.993	0.888	0.993
SRR6834177	0.460	0.781	0.421	0.906	0.993	0	0.309	0.863	0.896	0.960	0.737	0.594	0.885	0.946	0.576	0.540	0.957	0.281
SRR6834178	0.547	0.701	0.511	0.906	0.986	0.309	0	0.871	0.838	0.960	0.763	0.561	0.849	0.910	0.676	0.565	0.957	0.414
SRR6834179	0.914	0.888	0.903	0.906	0.986	0.863	0.871	0	0.583	0.906	0.511	0.788	0.903	0.849	0.914	0.813	0.964	0.914
SRR6834180	0.975	0.655	0.932	0.968	0.986	0.896	0.838	0.583	0	0.921	0.665	0.935	0.842	0.831	0.730	0.665	0.968	0.730
SRR6834181	0.950	0.960	0.950	0.741	0.478	0.960	0.960	0.906	0.921	0	0.935	0.683	0.960	0.960	0.953	0.906	0.683	0.960
SRR6834182	0.860	0.583	0.817	0.899	0.986	0.737	0.763	0.511	0.665	0.935	0	0.766	0.888	0.946	0.637	0.561	0.957	0.608
SRR6834183	0.568	0.856	0.518	0.640	0.687	0.594	0.561	0.788	0.935	0.683	0.766	0	0.892	0.950	0.906	0.629	0.835	0.647
SRR6834184	0.892	0.827	0.888	0.906	0.993	0.885	0.849	0.903	0.842	0.960	0.888	0.892	0	0.198	0.906	0.888	0.960	0.888
SRR6834185	0.950	0.888	0.950	0.950	0.993	0.946	0.910	0.849	0.831	0.960	0.946	0.950	0.198	0	0.950	0.950	0.964	0.950
SRR6834186	0.903	0.471	0.871	0.896	0.989	0.576	0.676	0.914	0.730	0.953	0.637	0.906	0.906	0.950	0	0.464	0.942	0.442
SRR6834187	0.633	0.345	0.583	0.899	0.993	0.540	0.565	0.813	0.665	0.906	0.561	0.629	0.888	0.950	0.464	0	0.957	0.378
SRR6834188	0.658	0.957	0.842	0.565	0.888	0.957	0.957	0.964	0.968	0.683	0.957	0.835	0.960	0.964	0.942	0.957	0	0.957
SRR6834189	0.647	0.608	0.608	0.906	0.993	0.281	0.414	0.914	0.730	0.960	0.608	0.647	0.888	0.950	0.442	0.378	0.957	0
