bray_curtis_binary	SRR6834172	SRR6834175	SRR6834181	SRR6834188	SRR6834176	SRR6834183	SRR6834173	SRR6834178	SRR6834177	SRR6834189	SRR6834186	SRR6834184	SRR6834174	SRR6834187	SRR6834179	SRR6834180	SRR6834182	SRR6834185
SRR6834172	0	0.273	0.400	0.273	0.500	0.636	0.800	0.818	0.800	0.750	0.600	0.714	0.600	0.778	0.833	0.818	0.800	0.750
SRR6834175	0.273	0	0.231	0.286	0.455	0.286	0.846	0.857	0.846	0.818	0.538	0.800	0.538	0.667	0.733	0.714	0.692	0.818
SRR6834181	0.400	0.231	0	0.385	0.600	0.538	0.833	0.846	0.833	0.800	0.500	0.778	0.667	0.636	0.714	0.692	0.667	0.800
SRR6834188	0.273	0.286	0.385	0	0.455	0.429	0.692	0.714	0.692	0.636	0.385	0.600	0.385	0.667	0.867	0.714	0.692	0.818
SRR6834176	0.500	0.455	0.600	0.455	0	0.273	0.600	0.636	0.800	0.750	0.600	0.714	0.600	0.778	0.667	0.636	0.600	0.750
SRR6834183	0.636	0.286	0.538	0.429	0.273	0	0.692	0.714	0.846	0.818	0.692	0.800	0.385	0.667	0.600	0.571	0.538	0.818
SRR6834173	0.800	0.846	0.833	0.692	0.600	0.692	0	0.0769	0.333	0.400	0.500	0.333	0.500	0.455	0.571	0.385	0.500	0.600
SRR6834178	0.818	0.857	0.846	0.714	0.636	0.714	0.0769	0	0.231	0.273	0.385	0.400	0.538	0.500	0.600	0.429	0.538	0.636
SRR6834177	0.800	0.846	0.833	0.692	0.800	0.846	0.333	0.231	0	0.200	0.333	0.333	0.500	0.455	0.571	0.538	0.500	0.600
SRR6834189	0.750	0.818	0.800	0.636	0.750	0.818	0.400	0.273	0.200	0	0.200	0.429	0.400	0.333	0.833	0.636	0.600	0.750
SRR6834186	0.600	0.538	0.500	0.385	0.600	0.692	0.500	0.385	0.333	0.200	0	0.556	0.500	0.455	0.857	0.692	0.667	0.800
SRR6834184	0.714	0.800	0.778	0.600	0.714	0.800	0.333	0.400	0.333	0.429	0.556	0	0.556	0.500	0.636	0.400	0.556	0.429
SRR6834174	0.600	0.538	0.667	0.385	0.600	0.385	0.500	0.538	0.500	0.400	0.500	0.556	0	0.273	0.714	0.538	0.500	0.800
SRR6834187	0.778	0.667	0.636	0.667	0.778	0.667	0.455	0.500	0.455	0.333	0.455	0.500	0.273	0	0.538	0.333	0.455	0.778
SRR6834179	0.833	0.733	0.714	0.867	0.667	0.600	0.571	0.600	0.571	0.833	0.857	0.636	0.714	0.538	0	0.200	0.286	0.333
SRR6834180	0.818	0.714	0.692	0.714	0.636	0.571	0.385	0.429	0.538	0.636	0.692	0.400	0.538	0.333	0.200	0	0.231	0.455
SRR6834182	0.800	0.692	0.667	0.692	0.600	0.538	0.500	0.538	0.500	0.600	0.667	0.556	0.500	0.455	0.286	0.231	0	0.600
SRR6834185	0.750	0.818	0.800	0.818	0.750	0.818	0.600	0.636	0.600	0.750	0.800	0.429	0.800	0.778	0.333	0.455	0.600	0
