bray_curtis_binary	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
SRR6834172	0	0.800	0.600	0.273	0.500	0.800	0.818	0.833	0.818	0.400	0.800	0.636	0.714	0.750	0.600	0.778	0.273	0.750
SRR6834173	0.800	0	0.500	0.846	0.600	0.333	0.0769	0.571	0.385	0.833	0.500	0.692	0.333	0.600	0.500	0.455	0.692	0.400
SRR6834174	0.600	0.500	0	0.538	0.600	0.500	0.538	0.714	0.538	0.667	0.500	0.385	0.556	0.800	0.500	0.273	0.385	0.400
SRR6834175	0.273	0.846	0.538	0	0.455	0.846	0.857	0.733	0.714	0.231	0.692	0.286	0.800	0.818	0.538	0.667	0.286	0.818
SRR6834176	0.500	0.600	0.600	0.455	0	0.800	0.636	0.667	0.636	0.600	0.600	0.273	0.714	0.750	0.600	0.778	0.455	0.750
SRR6834177	0.800	0.333	0.500	0.846	0.800	0	0.231	0.571	0.538	0.833	0.500	0.846	0.333	0.600	0.333	0.455	0.692	0.200
SRR6834178	0.818	0.0769	0.538	0.857	0.636	0.231	0	0.600	0.429	0.846	0.538	0.714	0.400	0.636	0.385	0.500	0.714	0.273
SRR6834179	0.833	0.571	0.714	0.733	0.667	0.571	0.600	0	0.200	0.714	0.286	0.600	0.636	0.333	0.857	0.538	0.867	0.833
SRR6834180	0.818	0.385	0.538	0.714	0.636	0.538	0.429	0.200	0	0.692	0.231	0.571	0.400	0.455	0.692	0.333	0.714	0.636
SRR6834181	0.400	0.833	0.667	0.231	0.600	0.833	0.846	0.714	0.692	0	0.667	0.538	0.778	0.800	0.500	0.636	0.385	0.800
SRR6834182	0.800	0.500	0.500	0.692	0.600	0.500	0.538	0.286	0.231	0.667	0	0.538	0.556	0.600	0.667	0.455	0.692	0.600
SRR6834183	0.636	0.692	0.385	0.286	0.273	0.846	0.714	0.600	0.571	0.538	0.538	0	0.800	0.818	0.692	0.667	0.429	0.818
SRR6834184	0.714	0.333	0.556	0.800	0.714	0.333	0.400	0.636	0.400	0.778	0.556	0.800	0	0.429	0.556	0.500	0.600	0.429
SRR6834185	0.750	0.600	0.800	0.818	0.750	0.600	0.636	0.333	0.455	0.800	0.600	0.818	0.429	0	0.800	0.778	0.818	0.750
SRR6834186	0.600	0.500	0.500	0.538	0.600	0.333	0.385	0.857	0.692	0.500	0.667	0.692	0.556	0.800	0	0.455	0.385	0.200
SRR6834187	0.778	0.455	0.273	0.667	0.778	0.455	0.500	0.538	0.333	0.636	0.455	0.667	0.500	0.778	0.455	0	0.667	0.333
SRR6834188	0.273	0.692	0.385	0.286	0.455	0.692	0.714	0.867	0.714	0.385	0.692	0.429	0.600	0.818	0.385	0.667	0	0.636
SRR6834189	0.750	0.400	0.400	0.818	0.750	0.200	0.273	0.833	0.636	0.800	0.600	0.818	0.429	0.750	0.200	0.333	0.636	0
