euclidean	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
SRR6834172	0	2.83	2.45	1.73	2.00	2.83	3.00	3.16	3.00	2.00	2.83	2.65	2.24	2.45	2.45	2.65	1.73	2.45
SRR6834173	2.83	0	2.45	3.32	2.45	2.00	1.000	2.83	2.24	3.16	2.45	3.00	1.73	2.45	2.45	2.24	3.00	2.00
SRR6834174	2.45	2.45	0	2.65	2.45	2.45	2.65	3.16	2.65	2.83	2.45	2.24	2.24	2.83	2.45	1.73	2.24	2.00
SRR6834175	1.73	3.32	2.65	0	2.24	3.32	3.46	3.32	3.16	1.73	3.00	2.00	2.83	3.00	2.65	2.83	2.00	3.00
SRR6834176	2.00	2.45	2.45	2.24	0	2.83	2.65	2.83	2.65	2.45	2.45	1.73	2.24	2.45	2.45	2.65	2.24	2.45
SRR6834177	2.83	2.00	2.45	3.32	2.83	0	1.73	2.83	2.65	3.16	2.45	3.32	1.73	2.45	2.00	2.24	3.00	1.41
SRR6834178	3.00	1.000	2.65	3.46	2.65	1.73	0	3.00	2.45	3.32	2.65	3.16	2.00	2.65	2.24	2.45	3.16	1.73
SRR6834179	3.16	2.83	3.16	3.32	2.83	2.83	3.00	0	1.73	3.16	2.00	3.00	2.65	2.00	3.46	2.65	3.61	3.16
SRR6834180	3.00	2.24	2.65	3.16	2.65	2.65	2.45	1.73	0	3.00	1.73	2.83	2.00	2.24	3.00	2.00	3.16	2.65
SRR6834181	2.00	3.16	2.83	1.73	2.45	3.16	3.32	3.16	3.00	0	2.83	2.65	2.65	2.83	2.45	2.65	2.24	2.83
SRR6834182	2.83	2.45	2.45	3.00	2.45	2.45	2.65	2.00	1.73	2.83	0	2.65	2.24	2.45	2.83	2.24	3.00	2.45
SRR6834183	2.65	3.00	2.24	2.00	1.73	3.32	3.16	3.00	2.83	2.65	2.65	0	2.83	3.00	3.00	2.83	2.45	3.00
SRR6834184	2.24	1.73	2.24	2.83	2.24	1.73	2.00	2.65	2.00	2.65	2.24	2.83	0	1.73	2.24	2.00	2.45	1.73
SRR6834185	2.45	2.45	2.83	3.00	2.45	2.45	2.65	2.00	2.24	2.83	2.45	3.00	1.73	0	2.83	2.65	3.00	2.45
SRR6834186	2.45	2.45	2.45	2.65	2.45	2.00	2.24	3.46	3.00	2.45	2.83	3.00	2.24	2.83	0	2.24	2.24	1.41
SRR6834187	2.65	2.24	1.73	2.83	2.65	2.24	2.45	2.65	2.00	2.65	2.24	2.83	2.00	2.65	2.24	0	2.83	1.73
SRR6834188	1.73	3.00	2.24	2.00	2.24	3.00	3.16	3.61	3.16	2.24	3.00	2.45	2.45	3.00	2.24	2.83	0	2.65
SRR6834189	2.45	2.00	2.00	3.00	2.45	1.41	1.73	3.16	2.65	2.83	2.45	3.00	1.73	2.45	1.41	1.73	2.65	0
