jaccard	SRR6834172	SRR6834174	SRR6834173	SRR6834187	SRR6834177	SRR6834189	SRR6834178	SRR6834186	SRR6834183	SRR6834179	SRR6834182	SRR6834180	SRR6834175	SRR6834188	SRR6834176	SRR6834181	SRR6834184	SRR6834185
SRR6834172	0	0.456	0.931	0.775	0.631	0.786	0.707	0.949	0.725	0.955	0.925	0.987	0.781	0.794	0.965	0.974	0.943	0.974
SRR6834174	0.456	0	0.908	0.736	0.592	0.756	0.676	0.931	0.682	0.949	0.899	0.965	0.941	0.914	0.991	0.974	0.941	0.974
SRR6834173	0.931	0.908	0	0.513	0.877	0.756	0.825	0.641	0.922	0.941	0.736	0.791	0.951	0.978	0.993	0.980	0.906	0.941
SRR6834187	0.775	0.736	0.513	0	0.701	0.548	0.722	0.634	0.773	0.897	0.719	0.799	0.947	0.978	0.996	0.951	0.941	0.974
SRR6834177	0.631	0.592	0.877	0.701	0	0.438	0.473	0.731	0.745	0.927	0.849	0.945	0.951	0.978	0.996	0.980	0.939	0.972
SRR6834189	0.786	0.756	0.756	0.548	0.438	0	0.585	0.613	0.786	0.955	0.756	0.844	0.951	0.978	0.996	0.980	0.941	0.974
SRR6834178	0.707	0.676	0.825	0.722	0.473	0.585	0	0.807	0.719	0.931	0.865	0.912	0.951	0.978	0.993	0.980	0.918	0.953
SRR6834186	0.949	0.931	0.641	0.634	0.731	0.613	0.807	0	0.951	0.955	0.778	0.844	0.945	0.970	0.995	0.976	0.951	0.974
SRR6834183	0.725	0.682	0.922	0.773	0.745	0.786	0.719	0.951	0	0.881	0.868	0.967	0.781	0.910	0.814	0.812	0.943	0.974
SRR6834179	0.955	0.949	0.941	0.897	0.927	0.955	0.931	0.955	0.881	0	0.676	0.736	0.951	0.982	0.993	0.951	0.949	0.918
SRR6834182	0.925	0.899	0.736	0.719	0.849	0.756	0.865	0.778	0.868	0.676	0	0.799	0.947	0.978	0.993	0.967	0.941	0.972
SRR6834180	0.987	0.965	0.791	0.799	0.945	0.844	0.912	0.844	0.967	0.736	0.799	0	0.984	0.984	0.993	0.959	0.914	0.908
SRR6834175	0.781	0.941	0.951	0.947	0.951	0.951	0.951	0.945	0.781	0.951	0.947	0.984	0	0.722	0.888	0.851	0.951	0.974
SRR6834188	0.794	0.914	0.978	0.978	0.978	0.978	0.978	0.970	0.910	0.982	0.978	0.984	0.722	0	0.941	0.812	0.980	0.982
SRR6834176	0.965	0.991	0.993	0.996	0.996	0.996	0.993	0.995	0.814	0.993	0.993	0.993	0.888	0.941	0	0.647	0.996	0.996
SRR6834181	0.974	0.974	0.980	0.951	0.980	0.980	0.980	0.976	0.812	0.951	0.967	0.959	0.851	0.812	0.647	0	0.980	0.980
SRR6834184	0.943	0.941	0.906	0.941	0.939	0.941	0.918	0.951	0.943	0.949	0.941	0.914	0.951	0.980	0.996	0.980	0	0.330
SRR6834185	0.974	0.974	0.941	0.974	0.972	0.974	0.953	0.974	0.974	0.918	0.972	0.908	0.974	0.982	0.996	0.980	0.330	0
