jaccard	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
SRR6834172	0	0.931	0.456	0.781	0.965	0.631	0.707	0.955	0.987	0.974	0.925	0.725	0.943	0.974	0.949	0.775	0.794	0.786
SRR6834173	0.931	0	0.908	0.951	0.993	0.877	0.825	0.941	0.791	0.980	0.736	0.922	0.906	0.941	0.641	0.513	0.978	0.756
SRR6834174	0.456	0.908	0	0.941	0.991	0.592	0.676	0.949	0.965	0.974	0.899	0.682	0.941	0.974	0.931	0.736	0.914	0.756
SRR6834175	0.781	0.951	0.941	0	0.888	0.951	0.951	0.951	0.984	0.851	0.947	0.781	0.951	0.974	0.945	0.947	0.722	0.951
SRR6834176	0.965	0.993	0.991	0.888	0	0.996	0.993	0.993	0.993	0.647	0.993	0.814	0.996	0.996	0.995	0.996	0.941	0.996
SRR6834177	0.631	0.877	0.592	0.951	0.996	0	0.473	0.927	0.945	0.980	0.849	0.745	0.939	0.972	0.731	0.701	0.978	0.438
SRR6834178	0.707	0.825	0.676	0.951	0.993	0.473	0	0.931	0.912	0.980	0.865	0.719	0.918	0.953	0.807	0.722	0.978	0.585
SRR6834179	0.955	0.941	0.949	0.951	0.993	0.927	0.931	0	0.736	0.951	0.676	0.881	0.949	0.918	0.955	0.897	0.982	0.955
SRR6834180	0.987	0.791	0.965	0.984	0.993	0.945	0.912	0.736	0	0.959	0.799	0.967	0.914	0.908	0.844	0.799	0.984	0.844
SRR6834181	0.974	0.980	0.974	0.851	0.647	0.980	0.980	0.951	0.959	0	0.967	0.812	0.980	0.980	0.976	0.951	0.812	0.980
SRR6834182	0.925	0.736	0.899	0.947	0.993	0.849	0.865	0.676	0.799	0.967	0	0.868	0.941	0.972	0.778	0.719	0.978	0.756
SRR6834183	0.725	0.922	0.682	0.781	0.814	0.745	0.719	0.881	0.967	0.812	0.868	0	0.943	0.974	0.951	0.773	0.910	0.786
SRR6834184	0.943	0.906	0.941	0.951	0.996	0.939	0.918	0.949	0.914	0.980	0.941	0.943	0	0.330	0.951	0.941	0.980	0.941
SRR6834185	0.974	0.941	0.974	0.974	0.996	0.972	0.953	0.918	0.908	0.980	0.972	0.974	0.330	0	0.974	0.974	0.982	0.974
SRR6834186	0.949	0.641	0.931	0.945	0.995	0.731	0.807	0.955	0.844	0.976	0.778	0.951	0.951	0.974	0	0.634	0.970	0.613
SRR6834187	0.775	0.513	0.736	0.947	0.996	0.701	0.722	0.897	0.799	0.951	0.719	0.773	0.941	0.974	0.634	0	0.978	0.548
SRR6834188	0.794	0.978	0.914	0.722	0.941	0.978	0.978	0.982	0.984	0.812	0.978	0.910	0.980	0.982	0.970	0.978	0	0.978
SRR6834189	0.786	0.756	0.756	0.951	0.996	0.438	0.585	0.955	0.844	0.980	0.756	0.786	0.941	0.974	0.613	0.548	0.978	0
