jaccard_binary	SRR6834172	SRR6834175	SRR6834181	SRR6834188	SRR6834176	SRR6834183	SRR6834173	SRR6834178	SRR6834177	SRR6834189	SRR6834186	SRR6834184	SRR6834174	SRR6834187	SRR6834179	SRR6834180	SRR6834182	SRR6834185
SRR6834172	0	0.429	0.571	0.429	0.667	0.778	0.889	0.900	0.889	0.857	0.750	0.833	0.750	0.875	0.909	0.900	0.889	0.857
SRR6834175	0.429	0	0.375	0.444	0.625	0.444	0.917	0.923	0.917	0.900	0.700	0.889	0.700	0.800	0.846	0.833	0.818	0.900
SRR6834181	0.571	0.375	0	0.556	0.750	0.700	0.909	0.917	0.909	0.889	0.667	0.875	0.800	0.778	0.833	0.818	0.800	0.889
SRR6834188	0.429	0.444	0.556	0	0.625	0.600	0.818	0.833	0.818	0.778	0.556	0.750	0.556	0.800	0.929	0.833	0.818	0.900
SRR6834176	0.667	0.625	0.750	0.625	0	0.429	0.750	0.778	0.889	0.857	0.750	0.833	0.750	0.875	0.800	0.778	0.750	0.857
SRR6834183	0.778	0.444	0.700	0.600	0.429	0	0.818	0.833	0.917	0.900	0.818	0.889	0.556	0.800	0.750	0.727	0.700	0.900
SRR6834173	0.889	0.917	0.909	0.818	0.750	0.818	0	0.143	0.500	0.571	0.667	0.500	0.667	0.625	0.727	0.556	0.667	0.750
SRR6834178	0.900	0.923	0.917	0.833	0.778	0.833	0.143	0	0.375	0.429	0.556	0.571	0.700	0.667	0.750	0.600	0.700	0.778
SRR6834177	0.889	0.917	0.909	0.818	0.889	0.917	0.500	0.375	0	0.333	0.500	0.500	0.667	0.625	0.727	0.700	0.667	0.750
SRR6834189	0.857	0.900	0.889	0.778	0.857	0.900	0.571	0.429	0.333	0	0.333	0.600	0.571	0.500	0.909	0.778	0.750	0.857
SRR6834186	0.750	0.700	0.667	0.556	0.750	0.818	0.667	0.556	0.500	0.333	0	0.714	0.667	0.625	0.923	0.818	0.800	0.889
SRR6834184	0.833	0.889	0.875	0.750	0.833	0.889	0.500	0.571	0.500	0.600	0.714	0	0.714	0.667	0.778	0.571	0.714	0.600
SRR6834174	0.750	0.700	0.800	0.556	0.750	0.556	0.667	0.700	0.667	0.571	0.667	0.714	0	0.429	0.833	0.700	0.667	0.889
SRR6834187	0.875	0.800	0.778	0.800	0.875	0.800	0.625	0.667	0.625	0.500	0.625	0.667	0.429	0	0.700	0.500	0.625	0.875
SRR6834179	0.909	0.846	0.833	0.929	0.800	0.750	0.727	0.750	0.727	0.909	0.923	0.778	0.833	0.700	0	0.333	0.444	0.500
SRR6834180	0.900	0.833	0.818	0.833	0.778	0.727	0.556	0.600	0.700	0.778	0.818	0.571	0.700	0.500	0.333	0	0.375	0.625
SRR6834182	0.889	0.818	0.800	0.818	0.750	0.700	0.667	0.700	0.667	0.750	0.800	0.714	0.667	0.625	0.444	0.375	0	0.750
SRR6834185	0.857	0.900	0.889	0.900	0.857	0.900	0.750	0.778	0.750	0.857	0.889	0.600	0.889	0.875	0.500	0.625	0.750	0
