jaccard_binary	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
SRR6834172	0	0.889	0.750	0.429	0.667	0.889	0.900	0.909	0.900	0.571	0.889	0.778	0.833	0.857	0.750	0.875	0.429	0.857
SRR6834173	0.889	0	0.667	0.917	0.750	0.500	0.143	0.727	0.556	0.909	0.667	0.818	0.500	0.750	0.667	0.625	0.818	0.571
SRR6834174	0.750	0.667	0	0.700	0.750	0.667	0.700	0.833	0.700	0.800	0.667	0.556	0.714	0.889	0.667	0.429	0.556	0.571
SRR6834175	0.429	0.917	0.700	0	0.625	0.917	0.923	0.846	0.833	0.375	0.818	0.444	0.889	0.900	0.700	0.800	0.444	0.900
SRR6834176	0.667	0.750	0.750	0.625	0	0.889	0.778	0.800	0.778	0.750	0.750	0.429	0.833	0.857	0.750	0.875	0.625	0.857
SRR6834177	0.889	0.500	0.667	0.917	0.889	0	0.375	0.727	0.700	0.909	0.667	0.917	0.500	0.750	0.500	0.625	0.818	0.333
SRR6834178	0.900	0.143	0.700	0.923	0.778	0.375	0	0.750	0.600	0.917	0.700	0.833	0.571	0.778	0.556	0.667	0.833	0.429
SRR6834179	0.909	0.727	0.833	0.846	0.800	0.727	0.750	0	0.333	0.833	0.444	0.750	0.778	0.500	0.923	0.700	0.929	0.909
SRR6834180	0.900	0.556	0.700	0.833	0.778	0.700	0.600	0.333	0	0.818	0.375	0.727	0.571	0.625	0.818	0.500	0.833	0.778
SRR6834181	0.571	0.909	0.800	0.375	0.750	0.909	0.917	0.833	0.818	0	0.800	0.700	0.875	0.889	0.667	0.778	0.556	0.889
SRR6834182	0.889	0.667	0.667	0.818	0.750	0.667	0.700	0.444	0.375	0.800	0	0.700	0.714	0.750	0.800	0.625	0.818	0.750
SRR6834183	0.778	0.818	0.556	0.444	0.429	0.917	0.833	0.750	0.727	0.700	0.700	0	0.889	0.900	0.818	0.800	0.600	0.900
SRR6834184	0.833	0.500	0.714	0.889	0.833	0.500	0.571	0.778	0.571	0.875	0.714	0.889	0	0.600	0.714	0.667	0.750	0.600
SRR6834185	0.857	0.750	0.889	0.900	0.857	0.750	0.778	0.500	0.625	0.889	0.750	0.900	0.600	0	0.889	0.875	0.900	0.857
SRR6834186	0.750	0.667	0.667	0.700	0.750	0.500	0.556	0.923	0.818	0.667	0.800	0.818	0.714	0.889	0	0.625	0.556	0.333
SRR6834187	0.875	0.625	0.429	0.800	0.875	0.625	0.667	0.700	0.500	0.778	0.625	0.800	0.667	0.875	0.625	0	0.800	0.500
SRR6834188	0.429	0.818	0.556	0.444	0.625	0.818	0.833	0.929	0.833	0.556	0.818	0.600	0.750	0.900	0.556	0.800	0	0.778
SRR6834189	0.857	0.571	0.571	0.900	0.857	0.333	0.429	0.909	0.778	0.889	0.750	0.900	0.600	0.857	0.333	0.500	0.778	0
