manhatten	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
SRR6834172	0	8.00	6.00	3.00	4.00	8.00	9.00	10.00	9.00	4.00	8.00	7.00	5.00	6.00	6.00	7.00	3.00	6.00
SRR6834173	8.00	0	6.00	11.0	6.00	4.00	1.000	8.00	5.00	10.00	6.00	9.00	3.00	6.00	6.00	5.00	9.00	4.00
SRR6834174	6.00	6.00	0	7.00	6.00	6.00	7.00	10.00	7.00	8.00	6.00	5.00	5.00	8.00	6.00	3.00	5.00	4.00
SRR6834175	3.00	11.0	7.00	0	5.00	11.0	12.0	11.0	10.00	3.00	9.00	4.00	8.00	9.00	7.00	8.00	4.00	9.00
SRR6834176	4.00	6.00	6.00	5.00	0	8.00	7.00	8.00	7.00	6.00	6.00	3.00	5.00	6.00	6.00	7.00	5.00	6.00
SRR6834177	8.00	4.00	6.00	11.0	8.00	0	3.00	8.00	7.00	10.00	6.00	11.0	3.00	6.00	4.00	5.00	9.00	2.00
SRR6834178	9.00	1.000	7.00	12.0	7.00	3.00	0	9.00	6.00	11.0	7.00	10.00	4.00	7.00	5.00	6.00	10.00	3.00
SRR6834179	10.00	8.00	10.00	11.0	8.00	8.00	9.00	0	3.00	10.00	4.00	9.00	7.00	4.00	12.0	7.00	13.0	10.00
SRR6834180	9.00	5.00	7.00	10.00	7.00	7.00	6.00	3.00	0	9.00	3.00	8.00	4.00	5.00	9.00	4.00	10.00	7.00
SRR6834181	4.00	10.00	8.00	3.00	6.00	10.00	11.0	10.00	9.00	0	8.00	7.00	7.00	8.00	6.00	7.00	5.00	8.00
SRR6834182	8.00	6.00	6.00	9.00	6.00	6.00	7.00	4.00	3.00	8.00	0	7.00	5.00	6.00	8.00	5.00	9.00	6.00
SRR6834183	7.00	9.00	5.00	4.00	3.00	11.0	10.00	9.00	8.00	7.00	7.00	0	8.00	9.00	9.00	8.00	6.00	9.00
SRR6834184	5.00	3.00	5.00	8.00	5.00	3.00	4.00	7.00	4.00	7.00	5.00	8.00	0	3.00	5.00	4.00	6.00	3.00
SRR6834185	6.00	6.00	8.00	9.00	6.00	6.00	7.00	4.00	5.00	8.00	6.00	9.00	3.00	0	8.00	7.00	9.00	6.00
SRR6834186	6.00	6.00	6.00	7.00	6.00	4.00	5.00	12.0	9.00	6.00	8.00	9.00	5.00	8.00	0	5.00	5.00	2.00
SRR6834187	7.00	5.00	3.00	8.00	7.00	5.00	6.00	7.00	4.00	7.00	5.00	8.00	4.00	7.00	5.00	0	8.00	3.00
SRR6834188	3.00	9.00	5.00	4.00	5.00	9.00	10.00	13.0	10.00	5.00	9.00	6.00	6.00	9.00	5.00	8.00	0	7.00
SRR6834189	6.00	4.00	4.00	9.00	6.00	2.00	3.00	10.00	7.00	8.00	6.00	9.00	3.00	6.00	2.00	3.00	7.00	0
