"Group","Node","Degree","Betweenness","Closeness","Eigenvector","Modularity","Zi","Pi","Role"
"PRE","OTU_189",3,0,0.333333333333333,1,1,0,0,"Peripheral"
"PRE","OTU_262",3,0,0.333333333333333,1,1,0,0,"Peripheral"
"PRE","OTU_504",3,0,0.333333333333333,1,1,0,0,"Peripheral"
"PRE","OTU_506",3,0,0.333333333333333,1,1,0,0,"Peripheral"
"PRE","OTU_576",1,0,1,0,2,0,0,"Peripheral"
"PRE","OTU_62",1,0,1,0,2,0,0,"Peripheral"
"Control","OTU_124",2,0,0.5,1,1,0,0,"Peripheral"
"Control","OTU_332",1,0,1,0,2,0,0,"Peripheral"
"Control","OTU_40",2,0,0.5,1,1,0,0,"Peripheral"
"Control","OTU_412",1,0,1,0,2,0,0,"Peripheral"
"Control","OTU_552",2,0,0.5,1,1,0,0,"Peripheral"
"sediment","OTU_412",3,0,0.333333333333333,1,1,0,0.444444444444444,"Peripheral"
"sediment","OTU_582",3,0,0.333333333333333,1,1,0,0.444444444444444,"Peripheral"
"sediment","OTU_62",3,0,0.333333333333333,1,1,0,0.444444444444444,"Peripheral"
"sediment","OTU_620",3,0,0.333333333333333,1,2,0,0,"Peripheral"
