Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Azonexaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Bradyrhizobiaceae,0.0,0.0,0.0,13.0,0.0,0.0,0.0,92.0,36.0,43.0,54.0,0.0,0.0,0.0,0.0,57.0,45.0,0.0
Burkholderiaceae,0.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Chlorobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,17.0,51.0,12.0,0.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Methylococcaceae,11.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Microcoleaceae,0.0,0.0,0.0,54.0,435.0,0.0,0.0,0.0,0.0,242.0,0.0,148.0,0.0,0.0,0.0,0.0,16.0,0.0
Oscillatoriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudomonadaceae,0.0,18.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,13.0,0.0,0.0,12.0,0.0,32.0,0.0
Roseobacteraceae,326.0,93.0,320.0,36.0,0.0,300.0,244.0,64.0,65.0,19.0,78.0,172.0,470.0,371.0,49.0,169.0,17.0,226.0
Rubidibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sphaerotilaceae,0.0,288.0,66.0,58.0,0.0,148.0,101.0,150.0,306.0,0.0,126.0,0.0,0.0,96.0,359.0,230.0,0.0,204.0
Stappiaceae,125.0,0.0,46.0,263.0,26.0,15.0,0.0,106.0,0.0,91.0,163.0,65.0,0.0,11.0,0.0,0.0,308.0,0.0
Sterolibacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Xanthobacteraceae,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,13.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Zoogloeaceae,0.0,18.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unclassified,21.0,18.0,25.0,6.0,28.0,23.0,8.0,20.0,27.0,22.0,16.0,30.0,5.0,9.0,25.0,20.0,22.0,22.0
