Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Azorhizobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
Bradyrhizobium,0.0,0.0,0.0,13.0,0.0,0.0,0.0,92.0,36.0,43.0,54.0,0.0,0.0,0.0,0.0,57.0,45.0,0.0
Clostridium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Dechloromonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Denitromonas,0.0,18.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halothece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herbaspirillum,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
Lyngbya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Methylococcus,11.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Methyloversatilis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Oscillatoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Prosthecochloris,0.0,0.0,0.0,0.0,0.0,0.0,16.0,41.0,0.0,0.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudomonas,0.0,18.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,13.0,0.0,0.0,12.0,0.0,32.0,0.0
Roseateles,0.0,22.0,0.0,0.0,0.0,11.0,0.0,28.0,0.0,0.0,10.0,0.0,0.0,96.0,17.0,14.0,0.0,0.0
Roseibium,125.0,0.0,46.0,263.0,26.0,15.0,0.0,106.0,0.0,91.0,163.0,65.0,0.0,11.0,0.0,0.0,308.0,0.0
Salipiger,326.0,93.0,320.0,36.0,0.0,300.0,244.0,64.0,65.0,19.0,78.0,172.0,470.0,371.0,49.0,169.0,17.0,226.0
Sphaerotilus,0.0,259.0,60.0,57.0,0.0,137.0,96.0,118.0,292.0,0.0,115.0,0.0,0.0,0.0,342.0,215.0,0.0,196.0
Trichodesmium,0.0,0.0,0.0,54.0,435.0,0.0,0.0,0.0,0.0,221.0,0.0,112.0,0.0,0.0,0.0,0.0,16.0,0.0
Xanthobacteraceae,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unclassified,21.0,25.0,35.0,20.0,28.0,23.0,14.0,34.0,53.0,22.0,23.0,34.0,5.0,9.0,33.0,21.0,22.0,30.0
