Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Azonexaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50602.1657727
Bradyrhizobiaceae,0.0,0.0,0.0,30813.71921591,0.0,0.0,0.0,218512.26400082,85330.29936713,101097.02022411,126959.04865353,0.0,0.0,0.0,0.0,134831.14173592,106662.87420892,0.0
Burkholderiaceae,0.0,0.0,48092.76131803,30813.71921591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47117.24891807,0.0,0.0,0.0
Chlorobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,40212.79665808,121131.79852219,28443.43312238,0.0,94043.73974335,95812.97307655,0.0,0.0,0.0,0.0,0.0,0.0
Clostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40294.86359004,0.0
Methylococcaceae,26341.94235904,0.0,0.0,68738.29671241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59257.15233829,0.0
Microcoleaceae,0.0,0.0,0.0,127995.4490507,1022725.66970898,0.0,0.0,0.0,0.0,568964.6254473,0.0,345861.46378854,0.0,0.0,0.0,0.0,37924.5774965,0.0
Oscillatoriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46738.0356471,0.0,0.0,0.0,0.0,0.0,0.0
Pseudomonadaceae,0.0,42578.25528503,0.0,30813.71921591,0.0,0.0,0.0,0.0,0.0,143416.70310862,0.0,30379.72317061,0.0,0.0,28270.34935084,0.0,75849.15499301,0.0
Roseobacteraceae,780679.38264066,219987.65230597,769484.18108848,85330.29936713,0.0,714000.11424002,577171.9049748,152008.53147883,154068.59607955,44670.77637809,183385.29249954,401947.10656506,1120897.0992614,879376.14070018,115437.25984927,399762.50795385,40294.86359004,544575.68879186
Rubidibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23510.93493584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sphaerotilaceae,0.0,681252.08456042,158706.1123495,137476.59342483,0.0,352240.05635841,238911.32132153,356269.99565351,725307.54462064,0.0,296237.78019157,0.0,0.0,227547.46497902,845754.61807936,544055.48419755,0.0,491563.89607761
Stappiaceae,299340.25408001,0.0,110613.35103147,623385.24259878,61128.43083318,35700.005712,0.0,251764.13026181,0.0,213949.50791613,383228.23945417,151898.61585307,0.0,26073.14702885,0.0,0.0,730048.1168077,0.0
Sterolibacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23654.58626946,0.0,0.0
Xanthobacteraceae,0.0,115907.47272035,0.0,0.0,0.0,0.0,0.0,0.0,94811.44374126,0.0,30564.21541659,0.0,0.0,0.0,58896.56114759,0.0,0.0,0.0
Zoogloeaceae,0.0,42578.25528503,0.0,0.0,0.0,0.0,283855.03523351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unclassified,50289.16268544,42578.25528503,60115.95164754,14221.71656119,65830.61782035,54740.0087584,18923.66901557,47502.66608713,63997.72452535,51724.05685885,37617.49589734,70107.05347065,11924.43722619,21332.57484178,58896.56114759,47309.17253892,52146.29405769,53011.79271425
