Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Azorhizobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49473.11136397,0.0,0.0,0.0
Bradyrhizobium,0.0,0.0,0.0,30813.71921591,0.0,0.0,0.0,218512.26400082,85330.29936713,101097.02022411,126959.04865353,0.0,0.0,0.0,0.0,134831.14173592,106662.87420892,0.0
Clostridium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40294.86359004,0.0
Dechloromonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50602.1657727
Denitromonas,0.0,42578.25528503,0.0,0.0,0.0,0.0,283855.03523351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halothece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23510.93493584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herbaspirillum,0.0,0.0,38474.20905442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37693.79913446,0.0,0.0,0.0
Lyngbya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49372.96336526,0.0,84128.46416478,0.0,0.0,0.0,0.0,0.0,0.0
Methylococcus,26341.94235904,0.0,0.0,68738.29671241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59257.15233829,0.0
Methyloversatilis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23654.58626946,0.0,0.0
Oscillatoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46738.0356471,0.0,0.0,0.0,0.0,0.0,0.0
Prosthecochloris,0.0,0.0,0.0,0.0,0.0,0.0,37847.33803113,97380.46547862,0.0,0.0,82288.27227544,86465.36594713,0.0,0.0,0.0,0.0,0.0,0.0
Pseudomonas,0.0,42578.25528503,0.0,30813.71921591,0.0,0.0,0.0,0.0,0.0,143416.70310862,0.0,30379.72317061,0.0,0.0,28270.34935084,0.0,75849.15499301,0.0
Roseateles,0.0,52040.08979281,0.0,0.0,0.0,26180.0041888,0.0,66503.73252199,0.0,0.0,23510.93493584,0.0,0.0,227547.46497902,40049.66158036,33116.42077724,0.0,0.0
Roseibium,299340.25408001,0.0,110613.35103147,623385.24259878,61128.43083318,35700.005712,0.0,251764.13026181,0.0,213949.50791613,383228.23945417,151898.61585307,0.0,26073.14702885,0.0,0.0,730048.1168077,0.0
Salipiger,780679.38264066,219987.65230597,769484.18108848,85330.29936713,0.0,714000.11424002,577171.9049748,152008.53147883,154068.59607955,44670.77637809,183385.29249954,401947.10656506,1120897.0992614,879376.14070018,115437.25984927,399762.50795385,40294.86359004,544575.68879186
Sphaerotilus,0.0,612653.78437898,144278.28395409,135106.30733129,0.0,326060.05216961,227084.0281868,280265.72991409,692123.53931119,0.0,270375.75176214,0.0,0.0,0.0,805704.956499,508573.60479337,0.0,472286.88054515
Trichodesmium,0.0,0.0,0.0,127995.4490507,1022725.66970898,0.0,0.0,0.0,0.0,519591.66208203,0.0,261732.99962376,0.0,0.0,0.0,0.0,37924.5774965,0.0
Xanthobacteraceae,0.0,115907.47272035,0.0,0.0,0.0,0.0,0.0,0.0,94811.44374126,0.0,28213.12192301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unclassified,50289.16268544,59136.46567365,84162.33230655,47405.72187063,65830.61782035,54740.0087584,33116.42077724,80754.53234813,125625.16295717,51724.05685885,54075.15035243,79454.66060007,11924.43722619,21332.57484178,77743.46071482,49674.63116586,52146.29405769,72288.80824671
