Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Burkholderiales,33526.10845696,685983.00181431,214012.78786523,173030.8848278,0.0,361760.05788161,243642.23857543,372895.928784,730048.1168077,0.0,319748.71512741,0.0,0.0,232288.03716609,895227.72944333,551151.86007839,33184.00530944,501202.40384384
Chlorobiales,0.0,0.0,0.0,0.0,0.0,0.0,40212.79665808,121131.79852219,28443.43312238,0.0,94043.73974335,95812.97307655,0.0,0.0,0.0,0.0,0.0,0.0
Cyanobacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23510.93493584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eubacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40294.86359004,0.0
Hyphomicrobiales,299340.25408001,120638.38997424,134659.73169048,656569.24790822,61128.43083318,71400.011424,0.0,491652.59400184,210955.4623243,317397.62163382,543102.59701787,182278.33902369,0.0,28443.43312238,75387.59826891,156120.26937843,841451.56320368,24096.26941557
Methylococcales,26341.94235904,0.0,0.0,68738.29671241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59257.15233829,0.0
Nitrosomonadales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23654.58626946,0.0,0.0
Oscillatoriales,0.0,0.0,0.0,127995.4490507,1022725.66970898,0.0,0.0,0.0,0.0,571315.71894088,0.0,392599.49943564,0.0,0.0,0.0,0.0,37924.5774965,0.0
Pseudomonadales,0.0,42578.25528503,0.0,30813.71921591,0.0,0.0,0.0,0.0,0.0,143416.70310862,0.0,30379.72317061,0.0,0.0,28270.34935084,0.0,75849.15499301,0.0
Rhodobacterales,780679.38264066,219987.65230597,769484.18108848,85330.29936713,0.0,714000.11424002,577171.9049748,152008.53147883,154068.59607955,44670.77637809,183385.29249954,401947.10656506,1120897.0992614,879376.14070018,115437.25984927,402127.9665808,40294.86359004,544575.68879186
Rhodocyclales,0.0,42578.25528503,0.0,0.0,0.0,0.0,283855.03523351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50602.1657727
unclassified,16763.05422848,33116.42077724,28855.65679082,7110.85828059,65830.61782035,9520.0015232,14192.75176168,9500.53321743,28443.43312238,47021.86987168,11755.46746792,39727.33030003,11924.43722619,14221.71656119,40049.66158036,16558.21038862,14221.71656119,19277.01553246
