Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Azorhizobium_caulinodans_ORS_571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49473.11136397,0.0,0.0,0.0
Bradyrhizobium_cosmicum,0.0,0.0,0.0,28443.43312238,0.0,0.0,0.0,149633.39817447,82960.0132736,98745.92673052,32915.30891017,0.0,0.0,0.0,0.0,134831.14173592,104292.58811539,0.0
Bradyrhizobium_sp._CCBAU_51753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23510.93493584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradyrhizobium_sp._CCBAU_53421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59378.33260892,0.0,0.0,65830.61782035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium_septicum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40294.86359004,0.0
Dechloromonas_sp._HYN0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50602.1657727
Denitromonas_iodatirespirans,0.0,42578.25528503,0.0,0.0,0.0,0.0,283855.03523351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halothece_sp000317635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23510.93493584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herbaspirillum_rubrisubalbicans,0.0,0.0,38474.20905442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37693.79913446,0.0,0.0,0.0
Lyngbya_aestuarii_BL_J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49372.96336526,0.0,84128.46416478,0.0,0.0,0.0,0.0,0.0,0.0
Methylococcus_geothermalis,26341.94235904,0.0,0.0,54516.58015122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54516.58015122,0.0
Methyloversatilis_discipulorum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23654.58626946,0.0,0.0
Oscillatoria_salina_IIICB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46738.0356471,0.0,0.0,0.0,0.0,0.0,0.0
Pseudomonas_stutzeri_DSM_4166,0.0,40212.79665808,0.0,30813.71921591,0.0,0.0,0.0,0.0,0.0,143416.70310862,0.0,30379.72317061,0.0,0.0,28270.34935084,0.0,75849.15499301,0.0
Roseateles_caseinilyticus,0.0,49674.63116586,0.0,0.0,0.0,26180.0041888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40049.66158036,28385.50352335,0.0,0.0
Roseateles_cellulosilyticus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66503.73252199,0.0,0.0,0.0,0.0,0.0,227547.46497902,0.0,0.0,0.0,0.0
Roseibium_litorale,284971.92188417,0.0,108208.71296557,613904.09822466,58777.3373396,35700.005712,0.0,242263.59704438,0.0,211598.41442255,373823.86547983,142551.00872365,0.0,26073.14702885,0.0,0.0,715826.40024651,0.0
Salipiger_pentaromativorans,780679.38264066,219987.65230597,769484.18108848,85330.29936713,0.0,714000.11424002,577171.9049748,152008.53147883,154068.59607955,44670.77637809,183385.29249954,401947.10656506,1120897.0992614,879376.14070018,115437.25984927,399762.50795385,40294.86359004,544575.68879186
Sphaerotilus_natans,0.0,610288.32575204,144278.28395409,0.0,0.0,326060.05216961,227084.0281868,0.0,220436.60669843,0.0,270375.75176214,0.0,0.0,0.0,805704.956499,499111.77028558,0.0,472286.88054515
Sphaerotilus_uruguayifluvii,0.0,0.0,0.0,135106.30733129,0.0,0.0,0.0,280265.72991409,471686.93261277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trichodesmium_erythraeum_IMS101,0.0,0.0,0.0,127995.4490507,1022725.66970898,0.0,0.0,0.0,0.0,519591.66208203,0.0,261732.99962376,0.0,0.0,0.0,0.0,37924.5774965,0.0
Xanthobacter_agilis,0.0,94618.34507784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28213.12192301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xanthobacter_autotrophicus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47405.72187063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xanthobacter_dioxanivorans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28443.43312238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rosthecochloris_sp._HL-130-GSB,0.0,0.0,0.0,0.0,0.0,0.0,37847.33803113,97380.46547862,0.0,0.0,82288.27227544,86465.36594713,0.0,0.0,0.0,0.0,0.0,0.0
unclassified,64657.49488128,87521.969197,86566.97037245,73478.86889948,68181.71131393,54740.0087584,33116.42077724,99755.59878298,146957.73779895,56426.24384601,91692.64624977,88802.26772949,11924.43722619,21332.57484178,77743.46071482,63867.38292754,73478.86889948,72288.80824671
