Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Burkholderiales,14.0,290.0,89.0,73.0,0.0,152.0,103.0,157.0,308.0,0.0,136.0,0.0,0.0,98.0,380.0,233.0,14.0,208.0
Chlorobiales,0.0,0.0,0.0,0.0,0.0,0.0,17.0,51.0,12.0,0.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyanobacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eubacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Hyphomicrobiales,125.0,51.0,56.0,277.0,26.0,30.0,0.0,207.0,89.0,135.0,231.0,78.0,0.0,12.0,32.0,66.0,355.0,10.0
Methylococcales,11.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Nitrosomonadales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Oscillatoriales,0.0,0.0,0.0,54.0,435.0,0.0,0.0,0.0,0.0,243.0,0.0,168.0,0.0,0.0,0.0,0.0,16.0,0.0
Pseudomonadales,0.0,18.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,13.0,0.0,0.0,12.0,0.0,32.0,0.0
Rhodobacterales,326.0,93.0,320.0,36.0,0.0,300.0,244.0,64.0,65.0,19.0,78.0,172.0,470.0,371.0,49.0,170.0,17.0,226.0
Rhodocyclales,0.0,18.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
unclassified,7.0,14.0,12.0,3.0,28.0,4.0,6.0,4.0,12.0,20.0,5.0,17.0,5.0,6.0,17.0,7.0,6.0,8.0
