#OTU ID	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
OTU_124	0	13	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0
OTU_189	0	4	0	0	5	0	17	37	12	0	35	39	0	0	0	0	0	0
OTU_262	0	0	0	0	0	0	0	90	154	0	0	0	0	0	0	2	0	0
OTU_267	0	0	0	0	0	19	0	98	0	0	171	0	0	0	0	0	0	0
OTU_3	266	44	217	28	3	207	172	32	7	13	54	140	42	19	30	112	10	116
OTU_332	0	0	0	131	0	0	0	0	0	0	0	31	0	0	0	0	0	0
OTU_40	0	23	0	0	0	2	14	8	41	0	0	0	321	268	0	0	0	0
OTU_412	3	0	0	11	0	0	0	0	0	1	0	1	0	0	3	0	24	0
OTU_421	0	1	3	2	0	0	0	37	18	21	8	1	0	0	0	27	0	0
OTU_504	0	0	0	0	0	0	0	13	7	0	1	0	0	6	0	0	0	0
OTU_506	0	0	0	0	0	0	0	25	0	0	0	0	0	78	0	0	0	0
OTU_552	0	0	0	0	0	84	65	0	0	0	0	0	0	0	150	0	0	65
OTU_576	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0
OTU_58	0	233	9	0	0	32	21	0	76	0	100	0	1	0	136	154	2	80
OTU_582	1	0	44	0	0	0	0	0	0	0	0	20	0	0	0	0	36	0
OTU_600	1	3	2	0	0	37	1	0	0	0	0	0	0	0	9	5	0	65
OTU_62	2	0	0	31	0	0	0	0	0	82	0	0	0	0	0	0	78	0
OTU_620	107	0	3	82	27	0	0	0	0	0	0	8	0	0	0	0	161	0
OTU_90	0	0	0	45	369	0	0	0	0	175	1	95	0	0	1	0	13	0
