#OTU ID	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
OTU_124	0	0.04676	0	0	0	0	0.241	0	0	0	0	0	0	0	0	0	0	0
OTU_189	0	0.01439	0	0	0.007194	0	0.03237	0.1223	0.03597	0	0.08993	0.1259	0	0	0	0	0	0
OTU_262	0	0	0	0	0	0	0	0.2662	0.4856	0	0	0	0	0	0	0.007194	0	0
OTU_267	0	0	0	0	0	0.04676	0	0.2842	0	0	0.4676	0	0	0	0	0	0	0
OTU_3	0.6942	0.1295	0.7806	0.09353	0.007194	0.5396	0.4532	0.08633	0.02518	0.03957	0.1403	0.4065	0.1079	0.05036	0.08993	0.3669	0.03597	0.3525
OTU_332	0	0	0	0.4101	0	0	0	0	0	0	0	0.1043	0	0	0	0	0	0
OTU_40	0	0.06115	0	0	0	0.003597	0.03957	0.01079	0.1295	0	0	0	0.8885	0.7518	0	0	0	0
OTU_412	0.007194	0	0	0.02878	0	0	0	0	0	0.003597	0	0	0	0	0.01079	0	0.07914	0
OTU_421	0	0	0.01079	0.007194	0	0	0	0.1223	0.05755	0.05396	0.02518	0.003597	0	0	0	0.09353	0	0
OTU_504	0	0	0	0	0	0	0	0.03237	0.02158	0	0.003597	0	0	0.01439	0	0	0	0
OTU_506	0	0	0	0	0	0	0	0.07554	0	0	0	0	0	0.1835	0	0	0	0
OTU_552	0	0	0	0	0	0.2374	0.1655	0	0	0	0	0	0	0	0.446	0	0	0.1942
OTU_576	0	0	0	0	0	0	0	0	0	0.1403	0	0	0	0	0	0	0	0
OTU_58	0	0.7374	0.03237	0	0	0.07554	0.06475	0	0.2446	0	0.2734	0	0.003597	0	0.4281	0.5144	0.007194	0.2518
OTU_582	0	0	0.1583	0	0	0	0	0	0	0	0	0.06115	0	0	0	0	0.1043	0
OTU_600	0	0.01079	0.007194	0	0	0.09712	0.003597	0	0	0	0	0	0	0	0.02158	0.01799	0	0.2014
OTU_62	0.007194	0	0	0.07554	0	0	0	0	0	0.2482	0	0	0	0	0	0	0.2338	0
OTU_620	0.2914	0	0.01079	0.2518	0.06115	0	0	0	0	0	0	0.02518	0	0	0	0	0.4964	0
OTU_90	0	0	0	0.1331	0.9245	0	0	0	0	0.5144	0	0.2734	0	0	0.003597	0	0.04317	0
