Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Azorhizobium_caulinodans_ORS_571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
Bradyrhizobium_cosmicum,0.0,0.0,0.0,12.0,0.0,0.0,0.0,63.0,35.0,42.0,14.0,0.0,0.0,0.0,0.0,57.0,44.0,0.0
Bradyrhizobium_sp._CCBAU_51753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradyrhizobium_sp._CCBAU_53421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium_septicum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Dechloromonas_sp._HYN0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Denitromonas_iodatirespirans,0.0,18.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halothece_sp000317635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herbaspirillum_rubrisubalbicans,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
Lyngbya_aestuarii_BL_J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Methylococcus_geothermalis,11.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
Methyloversatilis_discipulorum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Oscillatoria_salina_IIICB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudomonas_stutzeri_DSM_4166,0.0,17.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,13.0,0.0,0.0,12.0,0.0,32.0,0.0
Roseateles_caseinilyticus,0.0,21.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,0.0,0.0
Roseateles_cellulosilyticus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0
Roseibium_litorale,119.0,0.0,45.0,259.0,25.0,15.0,0.0,102.0,0.0,90.0,159.0,61.0,0.0,11.0,0.0,0.0,302.0,0.0
Salipiger_pentaromativorans,326.0,93.0,320.0,36.0,0.0,300.0,244.0,64.0,65.0,19.0,78.0,172.0,470.0,371.0,49.0,169.0,17.0,226.0
Sphaerotilus_natans,0.0,258.0,60.0,0.0,0.0,137.0,96.0,0.0,93.0,0.0,115.0,0.0,0.0,0.0,342.0,211.0,0.0,196.0
Sphaerotilus_uruguayifluvii,0.0,0.0,0.0,57.0,0.0,0.0,0.0,118.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trichodesmium_erythraeum_IMS101,0.0,0.0,0.0,54.0,435.0,0.0,0.0,0.0,0.0,221.0,0.0,112.0,0.0,0.0,0.0,0.0,16.0,0.0
Xanthobacter_agilis,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xanthobacter_autotrophicus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xanthobacter_dioxanivorans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rosthecochloris_sp._HL-130-GSB,0.0,0.0,0.0,0.0,0.0,0.0,16.0,41.0,0.0,0.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
unclassified,27.0,37.0,36.0,31.0,29.0,23.0,14.0,42.0,62.0,24.0,39.0,38.0,5.0,9.0,33.0,27.0,31.0,30.0
