Gene name	Similarity	Accuracy	Positive predict value	Specificity	Sensitivity	Negative predict value
AOA_amoA	81	100.00%	100.00%	100.00%	100.00%	100.00%
AOA_amoB	59	100.00%	100.00%	100.00%	100.00%	100.00%
AOA_amoC	82	100.00%	100.00%	100.00%	100.00%	100.00%
AOB_amoA	94	100.00%	98.08%	100.00%	100.00%	100.00%
comammox_amoA	65	100.00%	96.67%	100.00%	100.00%	100.00%
AOB_amoB	57	100.00%	98.36%	100.00%	100.00%	100.00%
AOB_amoC	66	100.00%	98.89%	100.00%	100.00%	100.00%
hao	32	100.00%	96.10%	100.00%	100.00%	100.00%
nxrA	64	99.94%	58.42%	99.94%	100.00%	100.00%
comammox_nxrA	100	99.99%	55.00%	99.99%	100.00%	100.00%
NOB_nxrA	100	99.95%	50.00%	99.95%	100.00%	100.00%
nxrB	68	100.00%	95.45%	100.00%	100.00%	100.00%
napA	39	100.00%	100.00%	100.00%	100.00%	100.00%
napB	42	100.00%	100.00%	100.00%	100.00%	100.00%
napC	34	100.00%	99.49%	100.00%	100.00%	100.00%
narG	95	99.98%	95.64%	99.98%	100.00%	100.00%
narH	95	99.98%	95.88%	99.98%	100.00%	100.00%
narJ	89	99.97%	95.24%	99.97%	100.00%	100.00%
narI	89	99.97%	95.14%	99.97%	100.00%	100.00%
nirK	40	100.00%	100.00%	100.00%	100.00%	100.00%
nirS	56	100.00%	100.00%	100.00%	100.00%	100.00%
norB	100	99.85%	92.06%	99.84%	100.00%	100.00%
norC	100	99.85%	86.49%	99.84%	100.00%	100.00%
norD	33	100.00%	100.00%	100.00%	100.00%	100.00%
norQ	56	100.00%	100.00%	100.00%	100.00%	100.00%
nosZ-I	56	99.96%	95.11%	99.96%	100.00%	100.00%
nosZ-II	86	99.98%	95.00%	99.98%	100.00%	100.00%
narZ	94	99.93%	95.04%	99.92%	100.00%	100.00%
narY	95	99.95%	96.01%	99.95%	100.00%	100.00%
narV	92	99.93%	95.37%	99.93%	100.00%	100.00%
narW	89	99.94%	95.27%	99.94%	100.00%	100.00%
nasA	57	99.91%	96.08%	99.91%	100.00%	100.00%
nasB	65	100.00%	100.00%	100.00%	100.00%	100.00%
nasD	37	99.91%	95.08%	99.91%	100.00%	100.00%
nasE	67	99.93%	96.06%	99.93%	100.00%	100.00%
nirA	37	99.97%	96.48%	99.97%	100.00%	100.00%
narB	58	99.99%	98.40%	99.99%	100.00%	100.00%
narC	70	100.00%	100.00%	100.00%	100.00%	100.00%
nirB	63	99.81%	95.01%	99.80%	100.00%	100.00%
nirD	46	100.00%	100.00%	100.00%	100.00%	100.00%
nrfA	42	100.00%	100.00%	100.00%	100.00%	100.00%
nrfB	42	99.99%	95.83%	99.99%	100.00%	100.00%
nrfC	43	100.00%	100.00%	100.00%	100.00%	100.00%
nrfD	39	100.00%	100.00%	100.00%	100.00%	100.00%
nrfH	34	99.98%	95.06%	99.98%	100.00%	100.00%
anfG	45	100.00%	97.44%	100.00%	100.00%	100.00%
nifD	27	99.97%	96.63%	99.97%	100.00%	100.00%
nifH	25	99.95%	95.45%	99.95%	100.00%	100.00%
nifK	26	99.97%	96.66%	99.97%	100.00%	100.00%
nifW	64	100.00%	100.00%	100.00%	100.00%	100.00%
vnfD	92	100.00%	94.12%	100.00%	100.00%	100.00%
vnfK	69	100.00%	100.00%	100.00%	100.00%	100.00%
vnfG	82	100.00%	93.33%	100.00%	100.00%	100.00%
vnfH	92	100.00%	100.00%	100.00%	100.00%	100.00%
hzo	100	99.97%	50.00%	99.97%	100.00%	100.00%
hzsA	87	100.00%	100.00%	100.00%	100.00%	100.00%
hzsB	78	100.00%	100.00%	100.00%	100.00%	100.00%
hzsC	82	100.00%	95.00%	100.00%	100.00%	100.00%
hox	44	100.00%	100.00%	100.00%	100.00%	100.00%
hdh	94	99.98%	70.37%	99.98%	100.00%	100.00%
ureA	78	99.84%	95.30%	99.83%	100.00%	100.00%
ureB	68	99.88%	96.02%	99.87%	100.00%	100.00%
ureC	73	99.88%	96.63%	99.87%	100.00%	100.00%
glsA	44	100.00%	100.00%	100.00%	100.00%	100.00%
glnA	100	100.00%	100.00%	100.00%	100.00%	100.00%
asnB	29	100.00%	100.00%	100.00%	100.00%	100.00%
ansB	82	100.00%	100.00%	100.00%	100.00%	100.00%
hcp	23	100.00%	100.00%	100.00%	100.00%	100.00%
pmoA	66	100.00%	96.00%	100.00%	100.00%	100.00%
pmoB	57	100.00%	100.00%	100.00%	100.00%	100.00%
pmoC	68	100.00%	96.36%	100.00%	100.00%	100.00%
